Batch ID,Test Date,Material ,Supplier,Heat Treatment,Sample Thickness (mm),Hardness (HRC),Tensile Strength (MPa),Yield Strength (MPa),Elongation (%),Carbon Equiv (%),Test Temp (C),Cycles to Failure,Defect Count,Operator,Test Machine,Pass/Fail,Notes
B2022-00812,06/12/2022,Aluminum 6061,Supplier A,Quenched & Tempered,12.24,16.2,385.1,300.0,7.5,0.455,20.7,120492.0,0.0,M. Chen,UTM-3,Pass,
B2024-00551,01-Jul-2024,Aluminum 6061,Supplier B,Quenched & Tempered,12.75,14.3 HRC,273.0,231.1,14.7,0.405,21.7,,2.0,,UTM-2,Pass,
B2024-00031,01-Jun-2024,TITANIUM TI-6AL-4V ,SUPPLIER D ,Quenched & Tempered,5.17,35.2,1020.6,872.0,11.3,0.252,22.0,,0.0,J. Kim,UTM-3,Pass,
B2022-01056,05-Jul-2022,Stainless 304,Supplier A,Quenched & Tempered,13.06,20.7,546.1,435.0,42.9,0.337,,,3.0,J. Kim,HT-4,Pass,
B2022-01039,06/04/2022,Stainless 304,Supplier_A,Annealed,17.77,20.6,619.0,512.7,45.9,0.401,25.8,134507.0,0.0,A. Silva,UTM-2,Pass,
B2023-00657,03/23/2023,Titanium Ti-6Al-4V,Supplier C,As-Received,19.65,36.2,956.4,824.9,8.1,0.46,24.5,22539.0,1.0,J. Kim,UTM-3,Pass,
B2022-00235,06/24/2022,Copper C110,Supplier D,Quenched & Tempered,6.92,8.6 HRC,244.1,190.2,31.4,0.301,26.3,,2.0,T. Nguyen,UTM-3,Pass,Grain flow irregular near edge
B2022-00523,17-Mar-2022,Copper C110,Supplier D,Normalized,3.82,8.8,244.3,196.4,35.3,0.447,25.0,,0.0,M. Chen,UTM-2,Pass,
B2022-01008,10/09/2022,COPPER C110 ,Supplier C,Quenched & Tempered,5.19,8.7,235.7,162.9,34.8,0.301,24.2,11995.0,2.0,A. Silva,UTM-1,Pass,
B2023-01074,2023-08-15,Copper C110,Supplier C,Annealed,1.5,7.6HRC,232.9,191.4,38.5,0.456,15.9,15124.0,3.0,J. Kim,HT-4,Pass,
B2022-00399,02/10/2022,Copper C110,Supplier A,Normalized,5.52,8.8HRC,252.1,200.4,32.7,0.522,25.5,,4.0,T. Nguyen,UTM-1,Pass,
B2022-01136,2022-09-25,Stainless 304,Supplier D,Normalized,9.39,23.5HRC,656.1,552.5,42.9,0.373,26.5,,1.0,J. Kim,UTM-3,Pass,Sample slipped in grips - discard?
B2023-00636,25-Aug-2023,Aluminum 6061,Supplier A,Quenched & Tempered,14.87,15.9,388.3,311.5,15.7,0.403,22.9,16603.0,3.0,M. Chen,UTM-1,Pass,
B2023-00546,09/07/2023, CopperC110,Supplier C,Quenched & Tempered,1.37,8.8,245.0,215.8,34.9,0.386,26.6,,2.0,J. Kim,UTM-2,Pass,
B2024-01121,06/15/2024,Stainless 304,Supplier C,As-Received,4.91,23.1 hrc,596.9,458.1,50.5,0.408,27.0,23270.0,2.0,M. Chen,HT-4,Pass,Sample slipped in grips - discard?
B2023-00039,11/02/2023,Titanium Ti-6Al-4V,Supplier C,Quenched & Tempered,7.96,37.7,1074.7,842.0,6.4,0.329,29.2,5706.0,1.0,J. Kim,UTM-2,Pass,
B2023-00976,27-Aug-2023,Aluminum 6061,Supplier C,As-Received,14.48,10.6,276.0,244.1,11.6,0.407,23.8,,5.0,R. Patel,UTM-2,Fail,
B2023-01349,10-Dec-2023,Steel 4140,Supplier B,As-Received,19.94,30.8,715.9,535.5,21.8,0.265,24.5,14549.0,2.0,T. Nguyen,UTM-3,Fail,
B2023-00998,2023-06-16,Steel 4140,Supplier D,Quenched & Tempered,24.25,30.4,1046.1,965.5,16.8,0.397,20.3,,3.0,M. Chen,HT-4,Pass,
B2022-00358,23-Jan-2022,Stainless 304,Supplier D,Quenched & Tempered,10.51,23.9,700.3,569.1,44.2,0.311,23.2,24608.0,1.0,R. Patel,UTM-2,Pass,
B2022-00472,01/23/2022,Copper C110,Supplier D,Annealed,8.35,9.3,187.5,155.6,35.2,0.245,24.8,,0.0,T. Nguyen,UTM-1,Pass,
B2022-00620,2022-05-03,Stainless 304,Supplier B,As-Received,11.35,24.2 hrc,519.2,402.0,,0.43,29.0,22467.0,2.0,T. Nguyen,HT-4,Fail,
B2022-01150,01-Sep-2022,Steel 4140,Supplier B,As-Received,12.87,30.1,793.9,644.6,17.5,0.391,24.6,3174.0,5.0,J. Kim,UTM-2,Fail,
B2022-01046,17-Feb-2022,Stainless 304,Supplier B,As-Received,8.33,23.2,507.5,421.1,46.0,0.453,25.5,11965.0,0.0,T. Nguyen,UTM-3,Fail,
B2023-00442,09/12/2023,Copper C110,Supplier D,Quenched & Tempered,8.4,10.0,249.8,213.4,34.0,0.395,26.0,,0.0,T. Nguyen,UTM-2,Pass,
B2022-00936,01/06/2022,Copper C110,Supplier B,As-Received,7.55,11.5,139.0,113.6,35.5,0.193,144.2,4409.0,3.0,R. Patel,HT-4,Fail,
B2023-00176,2023-11-27,COPPER C110 ,Supplier A,Normalized,1.75,8.2 hrc,239.9,159.8,39.0,0.364,,,1.0,R. Patel,UTM-3,Pass,
B2022-00504,2022-04-19,Aluminum 6061,Supplier A,Annealed,,16.7,328.9,278.5,14.6,0.385,25.0,,2.0,J. Kim,UTM-3,Pass,
B2023-00535,2023-10-16,Steel 4140,Supplier C,As-Received,10.65,30.1 HRC,879.4,718.7,21.3,0.173,23.0,,1.0,A. Silva,UTM-2,Pass,
B2023-01180,07/26/2023,Steel 4140,Supplier B,Annealed,21.11,32.9,771.5,645.6,19.0,0.415,24.1,,1.0,R. Patel,UTM-1,Pass,
B2023-00019,10/24/2023,Titanium Ti-6Al-4V,Supplier A,Normalized,8.57,34.0,954.1,763.9,9.5,0.307,20.1,,1.0,R. Patel,HT-4,Pass,
B2024-01255,08-Jul-2024,titanium ti-6al-4v,Supplier A,Quenched & Tempered,10.95,39.1,1142.8,858.2,8.2,0.483,22.1,23946.0,2.0,T. Nguyen,HT-4,Pass,
B2023-00953,02-May-2023,Steel 4140,Supplier D,Quenched & Tempered,10.51,32.5,1091.3,918.2,15.3,0.207,24.8,,0.0,R. Patel,UTM-1,Pass,
B2022-00601,13-Oct-2022,Copper C110,Supplier_B,As-Received,7.83,9.0,158.4,121.5,33.6,0.181,21.6,86908.0,0.0,T. Nguyen,UTM-1,Fail,
B2023-01132,21-Feb-2023,Aluminum 6061,Supplier C,As-Received,2.96,16.5 HRC,273.8,240.6,13.5,0.323,150.4,11169.0,0.0,,UTM-2,Pass,
B2022-00675,15-Nov-2022,Titanium Ti-6Al-4V,Supplier D,Normalized,4.03,35.1,1001.9,769.3,9.2,0.286,23.6,28898.0,2.0,T. Nguyen,UTM-2,Pass,
B2023-00578,2023-05-01,Copper-C110,Supplier B,As-Received,8.25,9.2HRC,127.3,109.7,35.4,0.201,150.7,,3.0,A. Silva,UTM-2,Fail,
B2024-01227,25-May-2024,titanium ti-6al-4v,Supplier B,Quenched & Tempered,14.49,34.4,827.1,705.7,12.5,0.332,25.8,,5.0,J. Kim,UTM-2,Fail,
